time_seconds,ecg_lead_II_mV
0.0,0.35
0.002777777777777778,0.35
0.005555555555555556,0.35
0.008333333333333333,0.35
0.011111111111111112,0.35
0.013888888888888888,0.35
0.016666666666666666,0.35
0.019444444444444445,0.35
0.022222222222222223,0.35
0.025,0.02
0.027777777777777776,-0.21
0.030555555555555555,-0.33
0.03333333333333333,-0.37
0.03611111111111111,-0.335
0.03888888888888889,-0.285
0.041666666666666664,-0.23
0.044444444444444446,-0.215
0.04722222222222222,-0.2
0.05,-0.19
0.05277777777777778,-0.2
0.05555555555555555,-0.2
0.058333333333333334,-0.21
0.06111111111111111,-0.23
0.06388888888888888,-0.25
0.06666666666666667,-0.255
0.06944444444444445,-0.245
0.07222222222222222,-0.24
0.075,-0.215
0.07777777777777778,-0.235
0.08055555555555556,-0.23
0.08333333333333333,-0.23
0.08611111111111111,-0.205
0.08888888888888889,-0.18
0.09166666666666666,-0.165
0.09444444444444444,-0.195
0.09722222222222222,-0.21
0.1,-0.215
0.10277777777777777,-0.195
0.10555555555555556,-0.17
0.10833333333333334,-0.155
0.1111111111111111,-0.175
0.11388888888888889,-0.195
0.11666666666666667,-0.21
0.11944444444444445,-0.2
0.12222222222222222,-0.2
0.125,-0.195
0.12777777777777777,-0.185
0.13055555555555556,-0.185
0.13333333333333333,-0.18
0.1361111111111111,-0.175
0.1388888888888889,-0.175
0.14166666666666666,-0.165
0.14444444444444443,-0.14
0.14722222222222223,-0.12
0.15,-0.115
0.1527777777777778,-0.13
0.15555555555555556,-0.155
0.15833333333333333,-0.19
0.16111111111111112,-0.19
0.1638888888888889,-0.185
0.16666666666666666,-0.18
0.16944444444444445,-0.16
0.17222222222222222,-0.14
0.175,-0.13
0.17777777777777778,-0.11
0.18055555555555555,-0.12
0.18333333333333332,-0.13
0.18611111111111112,-0.13
0.18888888888888888,-0.125
0.19166666666666668,-0.095
0.19444444444444445,-0.095
0.19722222222222222,-0.09
0.2,-0.08
0.20277777777777778,-0.075
0.20555555555555555,-0.07
0.20833333333333334,-0.075
0.2111111111111111,-0.065
0.21388888888888888,-0.055
0.21666666666666667,-0.06
0.21944444444444444,-0.055
0.2222222222222222,-0.04
0.225,-0.03
0.22777777777777777,-0.02
0.23055555555555557,-0.015
0.23333333333333334,-0.015
0.2361111111111111,-0.01
0.2388888888888889,0.015
0.24166666666666667,0.035
0.24444444444444444,0.025
0.24722222222222223,0.015
0.25,0.015
0.25277777777777777,0.025
0.25555555555555554,0.025
0.25833333333333336,0.04
0.2611111111111111,0.04
0.2638888888888889,0.03
0.26666666666666666,0.015
0.26944444444444443,0.02
0.2722222222222222,0.035
0.275,0.045
0.2777777777777778,0.05
0.28055555555555556,0.025
0.2833333333333333,0.02
0.2861111111111111,0.02
0.28888888888888886,0.01
0.2916666666666667,0.01
0.29444444444444445,0.0
0.2972222222222222,-0.005
0.3,-0.025
0.30277777777777776,-0.02
0.3055555555555556,-0.03
0.30833333333333335,-0.03
0.3111111111111111,-0.035
0.3138888888888889,-0.045
0.31666666666666665,-0.055
0.3194444444444444,-0.06
0.32222222222222224,-0.065
0.325,-0.075
0.3277777777777778,-0.08
0.33055555555555555,-0.075
0.3333333333333333,-0.075
0.33611111111111114,-0.075
0.3388888888888889,-0.07
0.3416666666666667,-0.075
0.34444444444444444,-0.08
0.3472222222222222,-0.09
0.35,-0.1
0.3527777777777778,-0.095
0.35555555555555557,-0.095
0.35833333333333334,-0.085
0.3611111111111111,-0.095
0.3638888888888889,-0.1
0.36666666666666664,-0.1
0.36944444444444446,-0.115
0.37222222222222223,-0.115
0.375,-0.13
0.37777777777777777,-0.14
0.38055555555555554,-0.15
0.38333333333333336,-0.16
0.3861111111111111,-0.145
0.3888888888888889,-0.155
0.39166666666666666,-0.16
0.39444444444444443,-0.17
0.3972222222222222,-0.185
0.4,-0.175
0.4027777777777778,-0.17
0.40555555555555556,-0.165
0.4083333333333333,-0.17
0.4111111111111111,-0.17
0.41388888888888886,-0.165
0.4166666666666667,-0.18
0.41944444444444445,-0.18
0.4222222222222222,-0.2
0.425,-0.2
0.42777777777777776,-0.215
0.4305555555555556,-0.205
0.43333333333333335,-0.21
0.4361111111111111,-0.205
0.4388888888888889,-0.21
0.44166666666666665,-0.22
0.4444444444444444,-0.225
0.44722222222222224,-0.225
0.45,-0.24
0.4527777777777778,-0.225
0.45555555555555555,-0.21
0.4583333333333333,-0.205
0.46111111111111114,-0.195
0.4638888888888889,-0.19
0.4666666666666667,-0.2
0.46944444444444444,-0.19
0.4722222222222222,-0.19
0.475,-0.185
0.4777777777777778,-0.17
0.48055555555555557,-0.17
0.48333333333333334,-0.175
0.4861111111111111,-0.165
0.4888888888888889,-0.165
0.49166666666666664,-0.185
0.49444444444444446,-0.185
0.49722222222222223,-0.205
0.5,-0.205
0.5027777777777778,-0.21
0.5055555555555555,-0.195
0.5083333333333333,-0.195
0.5111111111111111,-0.19
0.5138888888888888,-0.195
0.5166666666666667,-0.195
0.5194444444444445,-0.195
0.5222222222222223,-0.185
0.525,-0.175
0.5277777777777778,-0.175
0.5305555555555556,-0.2
0.5333333333333333,-0.225
0.5361111111111111,-0.25
0.5388888888888889,-0.24
0.5416666666666666,-0.24
0.5444444444444444,-0.24
0.5472222222222223,-0.25
0.55,-0.26
0.5527777777777778,-0.27
0.5555555555555556,-0.28
0.5583333333333333,-0.305
0.5611111111111111,-0.335
0.5638888888888889,-0.35
0.5666666666666667,-0.34
0.5694444444444444,-0.285
0.5722222222222222,-0.205
0.575,-0.135
0.5777777777777777,-0.095
0.5805555555555556,-0.045
0.5833333333333334,0.01
0.5861111111111111,0.075
0.5888888888888889,0.14
0.5916666666666667,0.175
0.5944444444444444,0.135
0.5972222222222222,0.045
0.6,-0.155
0.6027777777777777,-0.425
0.6055555555555555,-0.71
0.6083333333333333,-0.915
0.6111111111111112,-1.09
0.6138888888888889,-1.255
0.6166666666666667,-1.395
0.6194444444444445,-1.465
0.6222222222222222,-1.505
0.625,-1.49
0.6277777777777778,-1.45
0.6305555555555555,-1.39
0.6333333333333333,-1.34
0.6361111111111111,-1.27
0.6388888888888888,-1.155
0.6416666666666667,-1.025
0.6444444444444445,-0.95
0.6472222222222223,-0.93
0.65,-0.93
0.6527777777777778,-0.91
0.6555555555555556,-0.885
0.6583333333333333,-0.865
0.6611111111111111,-0.84
0.6638888888888889,-0.8
0.6666666666666666,-0.755
0.6694444444444444,-0.715
0.6722222222222223,-0.66
0.675,-0.63
0.6777777777777778,-0.58
0.6805555555555556,-0.54
0.6833333333333333,-0.51
0.6861111111111111,-0.465
0.6888888888888889,-0.435
0.6916666666666667,-0.395
0.6944444444444444,-0.365
0.6972222222222222,-0.315
0.7,-0.265
0.7027777777777777,-0.2
0.7055555555555556,-0.155
0.7083333333333334,-0.09
0.7111111111111111,-0.04
0.7138888888888889,-0.015
0.7166666666666667,-0.01
0.7194444444444444,0.005
0.7222222222222222,0.03
0.725,0.055
0.7277777777777777,0.08
0.7305555555555555,0.085
0.7333333333333333,0.09
0.7361111111111112,0.11
0.7388888888888889,0.11
0.7416666666666667,0.13
0.7444444444444445,0.15
0.7472222222222222,0.155
0.75,0.15
